INFO 2025-09-06 22:19:55,242 autoreload 17848 18372 Watching for file changes with StatReloader
INFO 2025-09-06 22:20:00,815 basehttp 17848 15128 "GET /api/claims/ HTTP/1.1" 200 643
INFO 2025-09-06 22:20:00,825 basehttp 17848 15128 "GET /api/my-policies/ HTTP/1.1" 200 204
INFO 2025-09-06 22:20:00,850 basehttp 17848 15128 "GET /api/recent-transactions/ HTTP/1.1" 200 485
INFO 2025-09-06 22:20:37,312 basehttp 17848 15128 "GET /api/claims/ HTTP/1.1" 200 643
INFO 2025-09-06 22:20:37,355 basehttp 17848 15128 "GET /api/my-policies/ HTTP/1.1" 200 204
INFO 2025-09-06 22:20:37,407 basehttp 17848 15128 "GET /api/recent-transactions/ HTTP/1.1" 200 485
INFO 2025-09-06 22:20:40,115 basehttp 17848 15128 "GET /api/claims/ HTTP/1.1" 200 643
INFO 2025-09-06 22:20:40,170 basehttp 17848 19680 "GET /api/dashboard/summary/ HTTP/1.1" 200 120
INFO 2025-09-06 22:20:40,175 basehttp 17848 15128 "GET /api/my-policies/ HTTP/1.1" 200 204
INFO 2025-09-06 22:20:40,189 basehttp 17848 24888 "GET /api/recent-transactions/ HTTP/1.1" 200 485
INFO 2025-09-06 22:20:40,189 basehttp 17848 41700 "GET /api/claims/ HTTP/1.1" 200 643
INFO 2025-09-06 22:20:40,221 basehttp 17848 19680 "GET /api/dashboard/summary/ HTTP/1.1" 200 120
INFO 2025-09-06 22:20:40,230 basehttp 17848 41700 "GET /api/my-policies/ HTTP/1.1" 200 204
INFO 2025-09-06 22:20:40,255 basehttp 17848 24888 "GET /api/recent-transactions/ HTTP/1.1" 200 485
INFO 2025-09-06 22:20:40,293 basehttp 17848 24888 "GET /api/recent-transactions/ HTTP/1.1" 200 485
INFO 2025-09-06 22:20:40,329 basehttp 17848 24888 "GET /api/recent-transactions/ HTTP/1.1" 200 485
INFO 2025-09-06 22:20:49,678 views 17848 24888 Chatbot request received: how are you doing today...
INFO 2025-09-06 22:20:49,679 ai_logic 17848 24888 Processing chatbot request: how are you doing today...
INFO 2025-09-06 22:20:49,687 ai_logic 17848 24888 Calling Groq API...
INFO 2025-09-06 22:20:50,231 ai_logic 17848 24888 Groq API response received: I'm doing great, thanks for asking. It's a lovely day to be helping people with their insurance need...
INFO 2025-09-06 22:20:50,236 views 17848 24888 Chatbot response generated successfully
INFO 2025-09-06 22:20:50,239 basehttp 17848 24888 "POST /api/chatbot-interaction/ HTTP/1.1" 200 438
INFO 2025-09-06 22:21:09,890 views 17848 24888 Chatbot request received: i want something for travel, any reccomendations?...
INFO 2025-09-06 22:21:09,891 ai_logic 17848 24888 Processing chatbot request: i want something for travel, any reccomendations?...
INFO 2025-09-06 22:21:09,896 ai_logic 17848 24888 Calling Groq API...
